name,item_description
METAL GEAR SOLID PS2,METAL GEAR SOLID 2 sons of liberty And MGS 3 snake eater Both complete
Nintendo 64 with mario kart,In great shape and everything works
Harvest Moon For GameCube,Harvest moon for GameCube
GALAXY NINTENDO 3DS XL + POKEMON SUN,**EDIT: PRICE WENT UP [rm] BECAUSE I ADDED THE POKÉMON SUN GAME** LIKE NEW NO FLAWS NINTENDO 3DS XL AWESOME GALAXY PRINT BOUGHT BRAND NEW 2 WEEKS AGO AND ONLY PLAYED FOR 2 HOURS *DOES NOT COME WITH CHARGER*
Mario Kart DS for the Nintendo DS,Game has minor cosmetic wear and works great!
Xbox 360 Gears of War 3 Game,Gears of War 3 Game no Scratches In Good Condition Bundle & Save Thank You for Shopping Have a Great Day
Musashi the samurai lord gameboy,Import game Plays in all gameboys
PS3 CALL OF DUTY GHOST,If you are looking for X MAS presents On a budget this is for you 2 Factory sealed copies for [rm]!!
Mario & Luigi Paper Jam & Sonic Boom,Two 3ds games. Mario and Luigi Paper Jam Sonic Boom Shattered Crystal
Free ship* Donkey Kong Land gameboy,"Donkey Kong Land Original gameboy game Label in great shape Game cleaned and tested Ships in bubble wrap, next day when available"
WWE Smackdown vs. Raw Xbox 360 Game,No description yet
NBA 2K17 ps4,"Brand new factory sealed This site charge 10% selling fee so price is firm, please don't ask I ship the same day or next day Thank you for looking"
Mafia 3 (PS4) FREE SHIPPING,Mafia III for playstation 4 Played only a few times Still pretty brand new
Sega Genesis Altered Beast,"Game, case, and manual. Works great"
Nba2k17 and controller bundle!!!,Bought for my son only played it maybe 3x!! One yr scratch warranty included!!! Controller in great workin condition!! My lost your gain!!! Price is firm
Wii Sports,Very fun family game. This one is like brand new as son received multiple. Selling for him in Army stationed in Germany. Price with shipping included
Castlevania Lament of Innocence PS2,"Excellent condition disc, would give about 8.8/10 works perfectly. Has 1 sticker on the spine of the cover art. Yoshi is not included in the sale"
Pokemon emerald,This is for emerald only Has a dry battery which means they SAVE your game progress but time based events such as berries do not regrow on trees Nintendo Gameboy advance
Elgato capture card HD 60,Elgato HD 60 gaming capture card comes with all chords and accessories
Super mario bros.,"Plus 3 other games. Mariokart, Mario 64 ds and yoshi."
UFC 2 PS4,"UFC 2 for Sony Playstation 4. Super fun game, disc is in great condition!"
Guitar Hero World Tour Playstation 2,In good pre owned condition Free shipping Check out my other listings
Skylanders level,Dark level for trap team
Starcraft 64 for nintendo 64 n64,Works great
Nightmare Before Christmas Oogie's PS2,"Tested and working! Check out my other video games, consoles and accessories! My store is color-coded: search BLUE for PlayStation!"
Alien Isolation,Still useable for Xbox one and in great condition
Ultimate I Spy for Wii,"I Spy something with my eye that is lots of fun! This game is fun for the whole family. Enjoy going through each level searching for the hidden objects in each stage, like classic I Spy. Enjoy these 3-D levels as you search for the answers to the riddles to bring the machine to life! Don't forget to bundle and save!"
Snes Bonkers,Cart only in good condition tested plays great I have many more great games listed
PSP games & movie,"Good condition 2 midnight club 3 , smackdown vs raw 06 , MLB the show 08 , and 8 mile movie"
Boxing Wii game,No description yet
Gamecube NOT READING LOT,"Games do not read. As is condition. Repost of other listing- added 2 more games Rampage and a very very bad condition Pokemon XD. Let me know if you have any questions. For [rm] more I'll include the game cases for Dragonball and Sonic too, just let me know."
Uncharted PS Vita,No description yet
N64 Mystical Ninja,Great item great price shipped securely missing a clip on bottom of cart see pics Free shipping Check my many other listings
Ps4 Final Fantasy,Final Fantasy 10 and 10.2. HD remastered edition. Factory sealed this is a brand new game. I'm not a fan of the FF series.
Ps2,Just ps2 Make offer I don't want it
Sponge Bob Crusty Crab (DS),"Hello there, The game pictured is the exact one you will receive. Plays just fine. Thank you!"
PS2 Ferrari Challenge,Complete and tested plays great reserved for az gamer
gamecube ultimate spiderman,"used,but works"
Halo energy sword toy,Prop energy sword lights up and makes noise
Tom Clancy's Rainbow Six Siege,"NEGOTIATE REASONABLE PRICE Rarely Used Clean Disc, No Scratches, Never Dropped Runs Smoothly And No Error Messages"
Pokemon/ gameboy bundle.,1 green and 1 yellow gameboy colors both work fine. Yellow has battery cover green does not. 2 pokemon yellows 1 saves 1 does not both play great 1 pokemon crystal does not save but plays great. 1 pokemon red that plays and saves. 1 pokemon ruby with manual that plays but battery has run dry. Firm on price. Thanks.
Call of duty ghosts PS4,"Great condition, sold the console so I need to sell the games."
Special Christmas edition skylander,Special limited edition Christmas skylander imaginations Jingle bell chompy mage 3 available Brand new in packaging
Bundle for Tyler,Do not buy! For above customer
Call of Duty Infinite Warfare Legacy Ed.,Brand new in factory wrapping guarantee. PS4
Tom Clancy Rainbow Six Vegas-PSP,Psp game Tom Clancy's Rainbow Six
Jumping Flash & Bubble bobble ps1,Jumping Flash & Bubble bobble for ps1. The games are complete like new. Free shipping.
Kid Icarus of Myths And Monsters Gameboy,"CARTRIDGE ONLY IN GOOD WORKING CONDITION. FREE SHIPPING! MESSAGE ME BEFORE BUYING TO MAKE SURE THAT ITEM IS STILL UP FOR SELL, BECAUSE I SELL ON EBAY AND BONANZA SO ITEM MAY NOT BE UP FOR SELL ANYMORE. FREE SHIPPING! NO INTERNATIONAL SHIPPING!"
PS2 urban chaos riot response,Play station to urban chaos right response rated M for mature 17+ booklet included
Kingdom hearts re: chain of memories,Sony ps2 game. Works great! Bundles are welcomed so check out my other things and save :)
Pink Gameboy Advanced,-Pink Gameboy Advanced -The Gameboy works good and is in Good Condition with Some Signs of Natural Use. -If you have any questions feel free to contact me -No Free Shipping and No Holds
Digimon story cyber sleuth,Japanese version of the game. Works on every psvita. It's not region locked. Great game and in working condition. Don't miss out on this amazing game.
Madden '16 Xbox 360,No description yet
Madden 18 Ps4,BRAND NEW FACTORY SEALED YES AVAILABLE NO NEED TO ASK **PRICE NOT NEGOTIABLE** I SHIP EVERYDAY. FREE 2-DAY SHIPPING
NBA 2k16 (PS4),Nba 2k16 ps4 WORKS GREAT
Adult card game bundle,"Adult card game bundle, never used. Includes 2 sets of Bachelorette Party activity cards & Sexy Passionate card game for two. Never used. Can be used as gifts, with friends/your S/O, or use them as kindle in your fireplace."
Red dead redemption(360),Good game no scratches
Wii Game Disney Universe Game,Played a few times great fun
Bundle. Skyrim and grand theft auto,Xbox one bundle games. Skyrim gta5
Earthworm Jim 2 snes super nintendo,Listing is for Earthworm jim 2 for super Nintendo. The game is in fair shape. Please see pictures for details. Game will be shipped securely within 24 hours of purchase via usps first class.
Super smash bros. Melee GameCube,No description yet
Megaman for PS4,No description yet
New super mario bros 2 brand new,Brand new the seal is tooken off but it was never played nore used
PARKER BROTHERS ELECTRONIC TALKING CLUE,PARKER BROTHERS ELECTRONIC TALKING CLUE FX GAME
Dragon ball z budokai tenkaichi 3 ps2,Complete Excellent condition Includes bonus disc
Need for speed hot pursuit -xbox 360 CIB,"Complete in box, disc in great shape."
Xbox games 36 in total,36 Xbox original games. Selling old collection. Many great titles included. SHIPPING is included in the price. Around [rm] for games and [rm] SHIPPING. That's less than [rm] PER GAME!!!!! Hope you enjoy this set as much as I have. Thank you for viewing my listings. Also have 2 systems message if you have additional interest in those as well All sales are final. Additional systems would only be available if interest is shown being high SHIPPING cost.
Ps4 UFC,Great game I lost the case and put it in a red box case but you can see it's not a red box game. Great deal well taken care of I would say 9/10 condition only played a few times. low price grab it its a steel!
Battlefield 1 (PS4),Still new. No longer play.
Tony Hawk Pro Skater 4 NEW PS2,"*Rated, serious buyers only please!* Tony Hawk Pro Skater 4 NEW and sealed black label PS2 PlayStation 2 All sales final. Thank you. I cannot make guarantees on gameplay or condition, but this is a new sealed game. Smoke free pet free."
Injustice 2/Prey Double Set - (Xbox One),"Brand new in original packaging with Xbox Seal. This set is for Xbox One and contains ""Prey"" with the cosmonaut shotgun pack and justice leagues second installment ""Injustice 2"". This is a great set and I am only interested in selling as a set. Shipping is immediate upon receipt of payment. Thanks for your interest and any questions contact me."
Nintendo Wii U Pro Controller,Gently used in open box
Fatal frame 3 ps2,No description yet
Activison Guitar hero controller,I no longer own a xbox platform
MAX PAYNE 2 THE FALL OF MAX PAYNE,No description yet
Gamecube Games,Four sports titles for gamecube 1) Mario Golf: Toadstool Tour 2) Dave Mira: Freestyle BMX 2 3) Kelly Slater's Pro Surfer 4) NCAA 2K3 Football All are tested and working. Unfortunately I do not have cases but games will be shipped in a protective sleeve. Minor wear/ scratches on the discs but do not affect gameplay. I will also be happy to separate :)
Injustice 2 Ps4,BRAND NEW FACTORY SEALED I SHIP EVERYDAY *PRICE FIRM* Please if you decide to buy it DO NOT BUY THIS ONE. Message me and I will make you a new post. I respond pretty fast.
Sony PlayStation 1: Final Fantasy VII,"Final Fantasy 7 another great RPG game.. comes with all three disc which are in good condition does not come with a manual, case has minor cracks other than that everything else is in good condition any questions or concerns feel free to ask thank you I can bundle too to save shipping."
Red Dead Redemption [XBOX 360],Red Dead Redemption for Xbox 360. In almost perfect condition.
Xbox 1 Kinect sports rivals,New still has wrapping on it
Nintendo nes games plus Rambo,Cleaned pins tested and working Karate champ Town and country surf designs Turbo racing All for 11
Avengers xbox one controller skin,Free shipping
Pink Game boy Advance SP,"Includes charger, case for device, and matching pink earbuds"
Super Nintendo Games,Games have been tested and work great. Some carts do have wear and yellowing so please refer to the pictures for more details. If you have any questions don't be afraid to ask. Willing to separate.
Halo Combat Evolved Anniversary Edition,Xbox 360 Games; Will generally vary from good condition-like new condition. Game is in working order. First Person Shooter Ask any questions if you feel anything is unclear. Thank you for looking!
Bundle for BlueBear,No description yet
NINTENFO WII Games,Mario & Sonic CSI Hard Evidence EXTREME CHALLENGE
Legend of Zelda Breath of The Wild (SE),Brand New Legend of Zelda taken from the special edition Price is firm
SLY COOPER Honor Among Thieves (PS2),"Comes In Original Case, With Manual! **Has Small Scuffs, But The Game Plays FLAWLESSLY!** Has Been Cleaned And TESTED!"
Reserved Bundle *Two Super Nintendo Game,Good working condition
Xbox Kinect PLUS Games,Never used Kinect!(came with Xbox) Comes with: Kinect for 360: New w/o box Kinect Joy Ride: New/Completely Sealed Kinect Adventures: Used once Kinectimals: Used a couple times Kinect Sports: Used Kinect Sports Season Two: Used Hole in the Wall Deluxe Edition: Used once Wipeout In The Zone: Used once Motionsports Play for Real: Used Disneyland Adventures: New w/o packaging Everything is in GREAT condition! Thank you for your interest & I can answer any questions!
Mortal Kombat X XBOX ONE,"Free of damage, comes in original packaging Ships out fast Price is firm."
Resident Evil Wii Edition,Resident Evil Wii Edition Check out my other listings Buy any 3 listings get 1 free lowest price
Nintendo 64 Bundle,Every item in the bundle has been tested and is fully functional. Included in the bundle are the following: 1x Nintendo 64 console (missing the cover for the jumper pack) 1x Power cord 1x AV cords 1x Rumble Pack 3x atomic purple controllers (8/10 for the joystick on 2 controllers & 6/10 on the other) 1x Legend of Zelda Majora's Mask (Note: the back piece of the cartidge needs to be glued back on but it still plays perfectly) 1x Tony Hawk's Pro Skater
Save for Vanessa Pokémon Rumble World,New in Plastic packaging 3DS
PS3,With controller and cords 9/10 condition
Fallout Bundle,Fallout New Vegas and Fallout 3 Games Used and played...in good condition NO FREE SHIPPING
Metal Gear Solid: VR Missions PS1,Metal Gear Solid for play station. There are light scratches on the case but disc is fine. I sell many games so let me know if you want to buy something else as well.
Joe and Mac for Super Nintendo,"I am selling my entire Game collection, so please check back over the next month to see all the games I have listed. My collection is over 2000 games and systems so please check back. This listing is for a used original of Joe and Mac for Super a Nintendo. The case is a custom case. You will get exactly what you see in the pictures. The game cartridge has little to no scratches. The label may have some small/minor indents, but will not have tears. The game works without any issues. Assume that any DLC codes have been used. Generally speaking if you are buying multiple items I will take off [rm] for each extra item that you purchase."
Star Wars BB-8 droid,"Brand new in box. Paid 149$ App enabled droid, built with advanced trait ware, skill ware and hardware. Guide BB8 with your smartphone and let it run autonomously creating holographic messages, record view and virtual holographic videos,listens and responds to your voice,and has a adaptive personality"
Call of Duty Black Ops for PS3,Brand new never opened
Pokemon sun 3ds,For 3ds
Shantae the Pirates Curse Nintendo 3DS,Factory Sealed
Kingdom Hearts 358/2 Days,"Nintendo DS game, preowned. In perfect condition. Feel free to bundle!"
PS3 Ultimate Marvel vs Capcom 3,Great condition!
Reserved for Preston,No description yet
Pick 2 games for [rm]! Lots of PS3 games,"They are used but all work. No I'm not going to take the time to take a photo of each disk but I guarantee they all are in good working condition! Pick 2 for [rm] or if you want more I can create a separate listing for 3 for [rm], 4 for [rm], or 5 for [rm]. Prices firm. Homefront, battlefield 3, marvel vs capcon, grand theft auto, call of duty: modern warfare, ghosts, world at war, black ops 1, black ops 2, battlefield bad company 3 & 4, sega Genesis collection, assassins creed brotherhood, revelations and 3. NCAA football 10, portal 2, and DC Universe online"
Nintendo DS Lite with 4 games,DS Lite missing pen and cable Comes with ULTIMATE MORTAL KOMBAT POKÉMON PEARL MARIO VS DONKEY KONG SUPER MARIO BROS
Xbox one Nba2k16,Xbox one nba2k16 good condition.
Fifa 16 #freeshipping,No description yet
Nintendo Super Mario bros wii game,Game is in good condition. There are some scratches on the disc.
Kingdom Hearts Chain of Memories GBA,Game Boy Advance game in great condition :)
Ds,Harvest moon ds work great
Super Smash Bros Brawl Wii,Super smash bros for Nintendo wii game is in good condition more than welcome to ask questions
Gravity Rush 2 PS4,It is brand new just store sealed.
Halo Xbox books,Includes all three books
Xbox One Minecraft Story Mode,Xbox One Minecraft Story Mode
Super Mario Sunshine for GameCube,"CIB complete with manual and original case,excellent condition,just clean and tested working :-)"
DYING LIGHT-PS4,"Great condition, no scratches or chips in disc.. Will ship the next day!"
Rune Factory 4 3ds,"Gently used Similar to harvest moon, story of seasons"
N64 pokemon stadium [rm],Nintendo 64 pokemon stadium [rm] plus [rm] shipping tested works well
Rise of the Tomb Raider Xbox One,This Rise of the Tomb Raider on Xbox One. Case is worn but disk is flawless.
Alien isolation Xbox one,Here is alien isolation nostromos edition go Xbox one
psp 3000 pro-b9 cfw with games READ,"this psp has cfw on it which means you can put games on the memory stick and play them I've already included an 8 gb memory stick with: A NES emulator with a complete game collection A SNES emulator with a complete game collection A GBC emulator with most of the games for it Star Wars Battlefront 2 Crash Bandicoot 1 , 2 , and 3 in one game together Final Fantasy 2 Final Fantasy 7 Final Fantasy Tactics: War Of The Lions GTA: Vice City Stories It works perfectly but is missing the battery cover. Comes with the charger. MESSAGE ME FOR ANYMORE INFO!"
Lot of 7 xbox 360 games,All tested and working
Amf bowling pinbusters -wii CIB,"Complete in box, disc in great shape *Check out more games and consoles on my page. Available items are but not limited to : nes, snes, ps1, ps2, ps3, xbox, xbox 360, xbox one, wii, nintendo ds, 3ds, and more! *All are easy to find and organized into their own section, check back weekly for new sales and deals. *Ask about bundling to save money on shipping, otherwise prices are FIRM due to fees. Prices were not raised after sale fees applied. *I ship SAME OR NEXT DAY of purchase!!"
Wizards & Warriors Nintendo Game,This Wizards & Warriors Nintendo Game works properly. Check out the photos before you buy to look for label or cart damage. Great for any collector.
PS4 Games Bundle Reserved,Includes both battlefield 4 and sniper elite 3
Smash bros melee & mario baseball read,"Super smash bros melee Mario superstar baseball Both games dont work, they give an error when pit intp the gamecube. This are sold for parts only."
Cooking Mama 5 Bon Appetit !,No description yet
Pokémon Diamond Nintendo DS,"TRACK YOUR PACKAGE We usually ship within 2 days of purchase. You will receive a tracking # as soon as we ship. ALL ITEMS AVAILABLE **All are items are available for purchase, if it's listed , we have it! SAVE ON SHIPPING **Save on shipping ! We will bundle items for you, just let us know what you want :) The more you buy the bigger discount I can give on the items that I ship together. CHECK OUT ALL OUR COOL ITEMS! We carry xbox original xbox 360 - Playstation 1 - playstation 2 - playstation 3 - Nintendo - Wii - Gamecube - Gameboy - nes - snes-Nintendo 64 - n64 -sega"
Gran Turismo 6 FREE SHIPPING,Great condition. No scratches.
Project Cars PS4 Game,Played once No scratches Comes with game box
Dark alliance /Champions return to arms,Still in seal Brand new never used Both is brand new
Recore and resident evil6,This is a listing for recore and resident evil ONLY Other games are not included Games are in condition as stated in previous listing
